Timestamp,What marine recreation activities do you engage in?,What is your primary marine recreation activity?,How many years of experience do you have in this activity?,"On average, how often do you do this activity per month?","When you do this activity, how long does it typically last?","On average, how many people participate with you when you do this activity?",How long have you been a member of BCMT?,Why did you purchase a BCMT membership?,Have you ever volunteered with BCMT? ,"If Yes, for which activity or activities?",Have you ever used the map at bcmarinetrails.org to plan your marine recreation activities?,"If Yes, how often?",What is your primary reason for visiting bcmarinetrails.org?,"Do you use any mobile applications before, during, or after your marine recreation trips? If yes, please specify which apps and for what purpose?",Have you ever submitted a Site Condition Report (SCR) to BCMT?,How often have you submitted an SCR?,What is your gender?,Which age group do you fall in?,"85% of BCMT members live in British Columbia (BC), Canada. If you live in BC, which region are you located in? If you live outside of BC, please include your state or province location under ""Other"".","If you would like to be entered into our prize draw, please leave us an email where we can contact you at. "
1/19/2021 21:59:34,Kayaking,Kayaking,9+ years,6-10 times,1 day or less (day-trip),3-5,4-5 years,I had downloaded campsite info .gpx files,No,,Yes,Often,Using the map,"Predict Wind, Easy GPS (download to computer), GPS Track Editor, Home Port",No,,Male,65+ years old,Vancouver Island,
1/19/2021 21:59:46,Kayaking,Kayaking,5-8 years,1-2 times,1 day or less (day-trip),1-2,2-3 years,To get involved,No,,No,,,Navionics,No,,Male,55-64 years old,Vancouver Island,
1/19/2021 22:00:00,Kayaking,Kayaking,9+ years,1-2 times,1-2 weeks,1-2,I'm not currently a member of BCMT,,No,,No,,Trip ideas. Current info. Tips,Google maps. Mostly my GPS,No,,Female,55-64 years old,Alberta ,
1/19/2021 22:00:02,"Sailing, Kayaking",Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,1 year or less,Camp site maps,No,,Yes,Sometimes,Maps,Aquamap Tides Gaiagps - for navigation tides and current,No,,Male,55-64 years old,Vancouver Island,
1/19/2021 22:00:25,Kayaking,Kayaking,3-4 years,3-5 times,1 day or less (day-trip),1-2,2-3 years,Information and connection,No,,Yes,Sometimes,Updates and specific information,Tides,No,,Male,65+ years old,Vancouver Coast & Mountains,
1/19/2021 22:00:55,"Sailing, Kayaking",Kayaking,9+ years,3-5 times,1 day or less (day-trip),3-5,1 year or less,want to get involved to make things better,Yes,site clean up (cancelled due to covid),No,,information,navionics,No,,Male,55-64 years old,Vancouver Island,
1/19/2021 22:01:48,"Stand-up paddling (SUP), Canoeing",Canoeing,9+ years,3-5 times,1 day or less (day-trip),1-2,I'm not currently a member of BCMT,,No,,Yes,Sometimes,Map campsites,Google Earth on my desktop to determine distance traveled with the line tool,Yes,Rarely,Male,55-64 years old,Vancouver Coast & Mountains,
1/19/2021 22:02:23,"Kayaking, Canoeing",Kayaking,3-4 years,1-2 times,2-3 days,1-2,1 year or less,Info and resources ,No,,Yes,Sometimes,Trip planning,No,No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/19/2021 22:03:45,"Stand-up paddling (SUP), Sailing, Kayaking, Canoeing",Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,4-5 years,Like the org goals and activities,Yes,Beach cleanup & bookkeeping,Yes,Rarely,Camp site info,,No,,Female,45-54 years old,Vancouver Island,
1/19/2021 22:04:00,"Sailing, Kayaking, Canoeing",Kayaking,less than 1 year,1-2 times,1 day or less (day-trip),1-2,1 year or less,Support kayaking resources ,No,,No,,To see heritage sites,,No,,Female,18-24 years old,Northern BC,
1/19/2021 22:05:35,Kayaking,beach combing ,9+ years,1-2 times,1 day or less (day-trip),1-2,2-3 years,"To support marine parks and campsites, and clean-up.",No,,Yes,Rarely,News about new initiatives.,,No,,Female,65+ years old,Vancouver Island,
1/19/2021 22:06:46,Kayaking,Kayaking,5-8 years,3-5 times,2-3 days,1-2,1 year or less,For better access to the online map for trip planning ,No,,Yes,Always,Using the map to find Camping locations,Google earth with marine trail campsites down loaded and Garmin Navionics.,Yes,Rarely,Male,25-34 years old,Vancouver Coast & Mountains,
1/19/2021 22:06:50,"Stand-up paddling (SUP), Kayaking",Kayaking,9+ years,3-5 times,2-3 days,1-2,I'm not currently a member of BCMT,To get more involved and learn about trip opportunities,No,No but we actively clean up any sites were are at and clear the access ramps of rocks or logs,Yes,Often,"Maps, information","Yes, before and during. Sometimes afterwords to cross reference.",No,Rarely,Female,45-54 years old,Vancouver Coast & Mountains,
1/19/2021 22:07:20,"Stand-up paddling (SUP), Sailing, Kayaking",Sailing,5-8 years,1-2 times,2-3 days,1-2,2-3 years,Kayak journey routes,No,,No,,Routes and campsites,Whale report,No,,Male,45-54 years old,Vancouver Island,
1/19/2021 22:07:45,Kayaking,Kayaking,9+ years,6-10 times,1-2 weeks,6-10,2-3 years,Support the vision,Yes,Director,Yes,Sometimes,Get general information about the organization ,Wind prediction applications ,No,,Female,65+ years old,Vancouver Island,
1/19/2021 22:08:45,"Kayaking, Rowing",Kayaking,9+ years,1-2 times,2-3 days,0 (solo),1 year or less,to support bcmt objective of building out network of camping sites,No,,Yes,Often,map,"Canada Maps, for route planning and location via android gps",No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/19/2021 22:08:58,"Kayaking, Canoeing",Canoeing,9+ years,1-2 times,2-3 days,1-2,1 year or less,Support marine trails,No,,Yes,Sometimes,Plan a trip,Gaia,No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/19/2021 22:10:36,Kayaking,Kayaking,9+ years,3-5 times,1 day or less (day-trip),1-2,4-5 years,"maping, camping spots, trip info",No,,Yes,Often,maping and camping info,"yes, Garmin GPSmap 78s with charting",No,,Male,65+ years old,Vancouver Island,
1/19/2021 22:10:55,Kayaking,Kayaking,9+ years,1-2 times,4-6 days,3-5,4-5 years,"For kayaking information, maps",No,,Yes,Sometimes,Information ,,No,,Female,55-64 years old,Vancouver Coast & Mountains,
1/19/2021 22:11:16,Kayaking,Kayaking,9+ years,3-5 times,1 day or less (day-trip),6-10,2-3 years,Wanted to support the efforts ,No,,Yes,Often,Map,Strava. Distance speed etc,No,,Male,65+ years old,Vancouver Island,
1/19/2021 22:11:58,Canoeing,Canoeing,9+ years,1-2 times,2-3 days,1-2,2-3 years,,Yes,Director,Yes,Often,Information,"Maps
Weather
What3words 
Tide tsbles",Yes,Sometimes,Male,55-64 years old,Kootenay Rockies,
1/19/2021 22:12:21,"Stand-up paddling (SUP), Kayaking",Kayaking,9+ years,More than 10 times,1 day or less (day-trip),1-2,2-3 years,To support BCMT,No,,No,,I don't,no,Yes,Rarely,Female,65+ years old,Vancouver Coast & Mountains,
1/19/2021 22:12:52,"Kayaking, Canoeing",Kayaking,9+ years,3-5 times,1 day or less (day-trip),1-2,4-5 years,Help support the development and maintenance of marine trails,No,,Yes,Sometimes,Trip planning,Gaia,No,,Male,35-44 years old,Vancouver Coast & Mountains,
1/19/2021 22:14:19,"Stand-up paddling (SUP), Kayaking, Canoeing",Kayaking,9+ years,6-10 times,4-6 days,1-2,4-5 years,An absolute necessity for the continued beauty of our coast,No,,No,,Fantastic commitment to the west coast ,No,No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/19/2021 22:15:31,"Stand-up paddling (SUP), Kayaking, Fishing",Kayaking,3-4 years,1-2 times,1 day or less (day-trip),,1 year or less,In late 2020,No,,No,Rarely,,,No,,Female,35-44 years old,Vancouver Island,
1/19/2021 22:16:18,Canoeing,Canoeing,9+ years,1-2 times,1 day or less (day-trip),1-2,4-5 years,Feel it's important to support the organization because of the work being done.,No,,Yes,Sometimes,Usually to look for approved camping sites as well as places to 'put-in'.,Only a GPS unit ...,No,,Male,65+ years old,Vancouver Island,
1/19/2021 22:16:42,"Sailing, Kayaking",Kayaking,9+ years,6-10 times,1 day or less (day-trip),1-2,4-5 years,Learned more about group after BCMT presentation,No,,Yes,Often,Checking out camping destinations ,,No,,Female,65+ years old,Vancouver Island,
1/19/2021 22:16:46,"Sailing, Kayaking, Canoeing",Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,1 year or less,Help with clean up and marine trails,No,,No,Rarely,Map and to see volunteer opportunities ,"Yes, spot device-safety, Gaia gps map, location, Canada topo -map, location",No,,Male,65+ years old,Kootenay Rockies,
1/19/2021 22:16:49,Kayaking,Kayaking,5-8 years,3-5 times,1 day or less (day-trip),3-5,1 year or less,Gaining knowledge,No,,No,,Knowledge,"Windy,Sail Flow and others for i formation on comditions",,,Male,65+ years old,Vancouver Island,
1/19/2021 22:17:08,Kayaking,Kayaking,1-2 years,3-5 times,1 day or less (day-trip),1-2,I'm not currently a member of BCMT,,No,,Yes,Often,"Discover routes, campsites and stops of interest","Windy for weather, Gaia GPS for navigation",No,,Female,25-34 years old,Vancouver Coast & Mountains,
1/19/2021 22:17:13,Kayaking,Kayaking,3-4 years,3-5 times,1 day or less (day-trip),3-5,1 year or less,BC is my favorite paddling destination. I hope to spend more time there. I wanted to support BCMTs activities and contribute to the BC paddling community. ,No,,No,,"Percolating on paddling expedition routes, feeling connected to folks with similar interest, keeping appraised of the orgs activities and possible volunteer activities. ","Yes. Conditions and navigation. Tidegraph pro, windy, deepzoom. ",No,,Female,55-64 years old,"Oregon, USA",
1/19/2021 22:17:22,"Stand-up paddling (SUP), Sailing, Kayaking",Kayaking,9+ years,1-2 times,4-6 days,3-5,4-5 years,"As a person who's paddled all the sounds on the West Coast of Vancouver Island, a portion of the Broughton Archipelago and a portion of the Hakai protected area, I've always appreciated reviewing the BCMT maps and identified camp sites. They have not always been accurate, but are a wonderful resource. I enjoy that enthusiasts are assisting others to experience our fabulous environment, and I'm very supportive of the organization that provides a structure for those interests. While I do not have a lot of time, I pleased at least to be a member.",No,,Yes,Often,"Mostly for the BCMT maps, and sometimes to read an article.",,No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/19/2021 22:18:40,Kayaking,Kayaking,5-8 years,1-2 times,1 day or less (day-trip),0 (solo),2-3 years,To support the group and learn more about kayaking in BC,No,,Yes,Rarely,Resources,Windy for weather forecasts,No,,Male,35-44 years old,Vancouver Coast & Mountains,
1/19/2021 22:18:51,Kayaking,Kayaking,5-8 years,1-2 times,1 day or less (day-trip),3-5,I'm not currently a member of BCMT,,No,,Yes,Very Often,Map,"Gaia GPS - route planning, navigation, Google doc - trip planning, shared with emergency contact",No,Rarely,Female,25-34 years old,Vancouver Island,
1/19/2021 22:21:29,Kayaking,Kayaking,9+ years,3-5 times,1 day or less (day-trip),1-2,2-3 years,To help support the initiatives of the organization; kayaking related information ,No,,Yes,Sometimes,To check on new activities of the group; kayaking related information,,Yes,Rarely,Female,55-64 years old,Vancouver Coast & Mountains,
1/19/2021 22:21:54,Kayaking,Kayaking,9+ years,3-5 times,1-2 weeks,3-5,2-3 years,To support the site and activities you do.,Yes,South Brooks cleanup 2019,Yes,Always,Information and the map,no,No,,Male,55-64 years old,Vancouver Island,
1/19/2021 22:22:08,Kayaking,Kayaking,9+ years,3-5 times,1-2 weeks,3-5,2-3 years,To support the site and activities you do.,Yes,South Brooks cleanup 2019,Yes,Always,Information and the map,no,No,,Male,55-64 years old,Vancouver Island,
1/19/2021 22:22:57,"Sailing, Kayaking, Canoeing",Kayaking,5-8 years,3-5 times,2-3 days,1-2,1 year or less,To support it. Safety info. Maps. Destinations.Community.,Yes,Assessments.  ,Yes,Always,Maps and site locations.,Windy. Wind direction ,No,,Female,45-54 years old,Vancouver Coast & Mountains,
1/19/2021 22:23:21,"Kayaking, Boating",Kayaking,3-4 years,1-2 times,1 day or less (day-trip),1-2,1 year or less,Access to information on kayaking on the west coast,No,,Yes,Sometimes,To view the maps,"Navionics, topo Canada",No,,Male,65+ years old,Vancouver Island,
1/19/2021 22:25:32,"Sailing, Kayaking",Sailing,9+ years,3-5 times,1 day or less (day-trip),0 (solo),I'm not currently a member of BCMT,,No,,No,,"News, info","PredictWind, wind and tide",No,,Male,55-64 years old,Vancouver Island,
1/19/2021 22:27:07,Kayaking,Kayaking,9+ years,1-2 times,1 day or less (day-trip),3-5,1 year or less,Member of   Cowichan Kayak and canoe club for 13 yesrs.n Duncan for 13 yearsd,Yes,Kayaking meeting in Naniano.,Yes,Sometimes,It is a great organision with great members and great leadership. Thanks. Don.  ,VHF radio if necessary .,Yes,Sometimes,Male,65+ years old,Vancouver Island,
1/19/2021 22:31:04,Kayaking,Kayaking,5-8 years,3-5 times,4-6 days,1-2,I'm not currently a member of BCMT,,No,,No,,love kayaking and believe in their goals,Navionics for navigation purposes ,No,,Female,55-64 years old,Vancouver Island,
1/19/2021 22:31:06,Canoeing,Canoeing,9+ years,3-5 times,1 day or less (day-trip),3-5,More than 5 years,Had to be a Board member,Yes,On board and various activities/displays,Yes,Often,Campsite information,"Usually do planning on computer; don't recall using my phone ona trip. TOo likely to get wet, and often out of cell range",Yes,Sometimes,Male,65+ years old,Vancouver Island,
1/19/2021 22:31:31,Kayaking,Kayaking,3-4 years,1-2 times,2-3 days,1-2,1 year or less,Community ,No,,Yes,Often,Planning trips ,"Gaia GPS location and recording, Tide Pro for  tides and currents, Weather Network ",No,,Male,65+ years old,Vancouver Island,
1/19/2021 22:32:18,"Sailing, Kayaking, Canoeing",Kayaking,9+ years,1-2 times,1 day or less (day-trip),3-5,4-5 years,support its goals,Yes,board,Yes,Rarely,trip planning,Avenza,No,,Male,65+ years old,Vancouver Island,
1/19/2021 22:32:21,Kayaking,Kayaking,9+ years,3-5 times,2-3 days,1-2,2-3 years,I'm keenly interested in kayak camping,No,,No,,Kayak camping routes,GPS Lite,No,,Female,55-64 years old,Vancouver Coast & Mountains,
1/19/2021 22:32:42,Kayaking,Kayaking,9+ years,3-5 times,1 day or less (day-trip),0 (solo),2-3 years,,No,,Yes,Sometimes,Finding campsites,,No,,Prefer not to say,35-44 years old,Vancouver Coast & Mountains,
1/19/2021 22:33:21,"Sailing, Kayaking",Kayaking,9+ years,6-10 times,1-2 weeks,1-2,4-5 years,I support their vision & goals,No,,Yes,Very Often,information on campsites,,Yes,Sometimes,Female,65+ years old,"Washington state, US",
1/19/2021 22:33:23,"Stand-up paddling (SUP), Kayaking",Kayaking,5-8 years,3-5 times,4-6 days,3-5,4-5 years,2016,Yes,"Clean up 2016, volunteer 1yr and back again this yr",Yes,Very Often,Plan and check out paddle destinations avionics sometimes,"Navionics,  Bcmt site, windalert",Yes,Sometimes,Female,65+ years old,Vancouver Island,
1/19/2021 22:35:09,Kayaking,Kayaking,9+ years,3-5 times,1 day or less (day-trip),3-5,4-5 years,To support your activities,No,,Yes,Often,Maps,"Wind prediction apps, tide and current apps, weather apps",Yes,Sometimes,Female,55-64 years old,Vancouver Coast & Mountains,
1/19/2021 22:35:22,"Kayaking, water taxi transport",water taxi transport,9+ years,More than 10 times,1 day or less (day-trip),6-10,More than 5 years,To support your effort,No,,No,,I'm an outfitter,Navionics boating as a back-up,No,,Male,55-64 years old,Vancouver Island,
1/19/2021 22:39:04,Kayaking,Kayaking,3-4 years,1-2 times,1 day or less (day-trip),1-2,1 year or less,"love the idea of community around preservation and maintenance, and to learn about good and safe trips",No,,No,,ideas on where might be good for day and multi-day kayak trips,windy-winds,No,,Female,45-54 years old,Vancouver Coast & Mountains,
1/19/2021 22:40:12,Kayaking,Kayaking,9+ years,6-10 times,1 day or less (day-trip),0 (solo),2-3 years,support the mission and goals of the BCMT,No,,Yes,Sometimes,route and area information,"Aqua map, Windy, AyeTides",No,,Male,55-64 years old,Northern BC,
1/19/2021 22:40:29,"Kayaking, Canoeing",Kayaking,9+ years,1-2 times,1 day or less (day-trip),0 (solo),4-5 years,Referred by a friend ,No,,No,,To stay in sync with what options are available ,PredictWind....to get info for planning,No,,Female,55-64 years old,Vancouver Coast & Mountains,
1/19/2021 22:41:28,Canoeing,Canoeing,3-4 years,1-2 times,1 day or less (day-trip),0 (solo),I'm not currently a member of BCMT,,No,,No,,"General information. I do fewer trips than I would like, and I want to use your info more and get out more often.",No,No,,Male,65+ years old,Vancouver Island,
1/19/2021 22:44:00,Kayaking,Kayaking,1-2 years,3-5 times,2-3 days,1-2,1 year or less,to support marine trails and access the maps,No,,Yes,Sometimes,map,"maps.me, gaia",No,,Male,25-34 years old,Vancouver Coast & Mountains,
1/19/2021 22:47:34,"Sailing, Kayaking",Kayaking,9+ years,1-2 times,1-2 weeks,1-2,2-3 years,Access to the maps of campsites,No,,Yes,Often,Maps,"Gaia, Windy, ",No,,Male,55-64 years old,Vancouver Island,
1/19/2021 22:48:06,Kayaking,Kayaking,9+ years,3-5 times,1-2 weeks,1-2,2-3 years,support conservation & education activities including maps and land purchases,No,,Yes,Often,map,C-map for planning,No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/19/2021 22:49:23,"Stand-up paddling (SUP), Kayaking, Rowing, Canoeing, Ocean swimming",Kayaking,9+ years,6-10 times,,1-2,2-3 years,To support your cause.  I loved the idea of providing maps and campsite locations for others ,No,,Yes,Sometimes,Planning longer kayak trips.  We have kayaked from Victoria to Saltery Bay so far and plan on reaching Campbell R soon.  They have been helpful for finding camp and picnic sites.  ,Google maps ,No,,Female,65+ years old,Vancouver Coast & Mountains,
1/19/2021 22:50:15,Kayaking,Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,2-3 years,I believe 5hat Marine Trails are important ,No,,No,,I became a member to support the organization. ,,No,,Male,55-64 years old,I live in West Vancouver but own property on Vancouver Island. I paddle in both areas. ,
1/19/2021 22:51:56,Kayaking,Kayaking,9+ years,More than 10 times,4-6 days,6-10,I'm not currently a member of BCMT,No,No,,No,,,,No,,Male,55-64 years old,Vancouver Island,
1/19/2021 22:53:16,Kayaking,Kayaking,9+ years,3-5 times,1-2 weeks,3-5,2-3 years,liked the site map for camping spots & always dreamed of a marine trail network & want to support such efforts!,Yes,Newcastle Island educational weekend,Yes,Often,"look-up campsites and associated site information & pictures for the area we plan to paddle & camp in, even if we already know the area - we still check for latest site info.","Gaia GPS for trails & terrain, Navionics Boating for marine chart info & tides & currents, Safari for Canadian tides & current tables & marine weather reports, Ship Finder for AIS large vessel traffic including ferries provided we have cell reception, windy for weather, Weather Network App, Kindle for reading entertainment, Books App for device manuals, notes app for custom gear & food checklists & trip notes & trip planning, Apple fitness app & watch for recording the paddle effort itself & of course the camera app!
",No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/19/2021 22:53:24,Kayaking,Boating to islands to hike,9+ years,1-2 times,1 day or less (day-trip),3-5,I'm not currently a member of BCMT,,No,,No,,,All trails,No,,Female,55-64 years old,Vancouver Island,
1/19/2021 22:55:35,"Sailing, Kayaking, Surfing",Kayaking,3-4 years,,1 day or less (day-trip),1-2,1 year or less,Information about marine trail and resource for planning kayak trips,No,,Yes,Rarely,Planning longer kayak trips,,No,,Male,55-64 years old,Vancouver Island,
1/19/2021 22:55:45,Kayaking,Kayaking,9+ years,3-5 times,longer than 2 weeks,1-2,More than 5 years,to use the maps and support the trail,No,,Yes,Often,trip planning,no,No,,Female,65+ years old,"WA, USA",
1/19/2021 22:56:03,"Stand-up paddling (SUP), Kayaking, Canoeing, Swimming",Kayaking,9+ years,3-5 times,1 day or less (day-trip),3-5,4-5 years,I knew Stephanie Meinke and was impressed with the work she was doing with BCMTN,Yes,I did some sote assessments on Rennell Island.,Yes,Sometimes,I like seeing how far this organization has come! I use the map and check out news updates.,"I go low-tech while paddling, disconnect from technology. I use Google Earth, GC tides and currents, Windy, and BCMTN before heading out. I post on FB after and create photo books from my trips through London Drugs.",No,,Female,55-64 years old,Vancouver Island,
1/19/2021 22:57:36,Kayaking,Kayaking,1-2 years,1-2 times,1 day or less (day-trip),1-2,1 year or less,To use the map,No,,Yes,Sometimes,To use the map,"Google map, tide table",No,,Female,45-54 years old,Vancouver Coast & Mountains,
1/19/2021 22:58:42,Kayaking,Kayaking,9+ years,3-5 times,1 day or less (day-trip),3-5,4-5 years,To support the ongoing work of BCMTN.,Yes,Stewardship  Committee,No,,Information on what is happening,Yes.  Navionics.  Information,Yes,Rarely,Female,65+ years old,Vancouver Island,
1/19/2021 23:02:08,Kayaking,Kayaking,1-2 years,3-5 times,1 day or less (day-trip),1-2,1 year or less,Wealth of information; to be able to help build the trail,No,,Yes,Often,Map,Windy: wind forecast; Tides: tide levels; AdventureSmart: leaving float plans,No,,Male,45-54 years old,Vancouver Island,
1/19/2021 23:02:36,"Kayaking, Canoeing",Kayaking,5-8 years,3-5 times,1 day or less (day-trip),3-5,2-3 years,As soon as I learned of it,No,,Yes,Often,Map,No,No,,Female,55-64 years old,Vancouver Coast & Mountains,
1/19/2021 23:04:26,Kayaking,Kayaking,3-4 years,1-2 times,4-6 days,1-2,1 year or less,Summer 2020,No,,Yes,Often,Map,,No,,Female,35-44 years old,Vancouver Coast & Mountains,
1/19/2021 23:04:43,"Sailing, Kayaking",Kayaking,9+ years,3-5 times,1 day or less (day-trip),1-2,More than 5 years,To support the trail,No,,Yes,Rarely,Routes,"Environment Canada, Aye Tides 
Navionics",No,,Male,65+ years old,Vancouver Island,
1/19/2021 23:10:47,Canoeing,Canoeing,9+ years,3-5 times,2-3 days,3-5,1 year or less,Get background information for future west coast trips,No,Possibly planning / clean-up,Yes,Often,information,garmin / navionics ,No,Rarely,Male,45-54 years old,Vancouver Coast & Mountains,
1/19/2021 23:11:31,"Stand-up paddling (SUP), Kayaking, Canoeing, surfing",Kayaking,9+ years,More than 10 times,1 day or less (day-trip),More than 10,2-3 years,To access the map and support the mission,Yes,Trying to help with site assessments - only attended a workshop so far,Yes,Sometimes,To gather beta on areas I have not been to,,Yes,Rarely,Male,55-64 years old,Vancouver Island,
1/19/2021 23:12:03,"Stand-up paddling (SUP), Kayaking, Canoeing",Kayaking,3-4 years,6-10 times,1 day or less (day-trip),3-5,2-3 years,To support development of trail network,No,,Yes,Often,Get information on camp sites,"Strava, Ayetides",Yes,Rarely,Male,55-64 years old,Vancouver Island,
1/19/2021 23:12:32,"Kayaking, Rowing",Kayaking,5-8 years,1-2 times,1 day or less (day-trip),1-2,1 year or less,Interested in environmental work and exploring,No,,No,,Seeing outdoor works and scenery ,"Gps, compass, camera, ",No,,Male,65+ years old,Vancouver Coast & Mountains,
1/19/2021 23:15:09,"Stand-up paddling (SUP), Sailing, Kayaking, Canoeing",Kayaking,9+ years,1-2 times,4-6 days,3-5,4-5 years,To support the organization and get the benefits of membership. ,Yes,Advising the executive. ,Yes,Always,To use the map. ,Gaia and other mapping apps. ,Yes,Often,Male,45-54 years old,Vancouver Coast & Mountains,
1/19/2021 23:19:51,"Stand-up paddling (SUP), Kayaking",Kayaking,5-8 years,1-2 times,4-6 days,3-5,2-3 years,Thanks for the maps and camp spots,No,,Yes,Sometimes,Research camp and distances,"Windy, Garmin",No,,Female,45-54 years old,Vancouver Island,
1/19/2021 23:20:26,Kayaking,Kayaking,5-8 years,1-2 times,1 day or less (day-trip),1-2,2-3 years,To support your efforts,No,,Yes,Rarely,Research paddling and camping trips,AyeTides and TideGraph Pro for tides and currents; PNW Current Atlas for currents; OutCast for marine forecasts; RiverCast for river flows; GoPaddling for paddling locations; American Whitewater for river segments; Buoy Reports for real-time weather & water conditions,No,,Male,45-54 years old,"Washington State, USA",
1/19/2021 23:23:43,"Stand-up paddling (SUP), Kayaking",Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,4-5 years,The awesome map and ongoing conservation work. Keep up the great job ,No,,Yes,Always,Maps,"Windy for weather and winds , govt Cdn for marine weather ",Yes,Sometimes,Female,55-64 years old,Vancouver Coast & Mountains,
1/19/2021 23:25:59,Kayaking,Kayaking,9+ years,3-5 times,1-2 weeks,0 (solo),2-3 years,To support the organization although I don’t use the website much.,No,,No,Rarely,Looking at areas I’m not familiar with.  ,"Navionics.  Winds, currents.  ",No,Rarely,Male,55-64 years old,Alberta,
1/19/2021 23:27:17,Kayaking,Kayaking,5-8 years,3-5 times,1 day or less (day-trip),3-5,1 year or less,Gaining knowledge,No,,No,,Knowledge,"Windy,Sail Flow and others for i formation on comditions",,,Male,65+ years old,Vancouver Island,
1/19/2021 23:30:22,"Sailing, Kayaking, Canoeing",Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,I'm not currently a member of BCMT,,No,,No,,keeping up to date on marine trails,,No,,Male,65+ years old,Vancouver Coast & Mountains,
